district,d_pct,r_pct,margin,margin_int
1,0.662796825607251,0.3192691141617682,0.3435277114454828,D+34.35
2,0.6265887345869903,0.36114639428054135,0.2654423403064489,D+26.54
3,0.7232756896613789,0.26029365658187403,0.46298203307950486,D+46.3
4,0.7301648362049465,0.25227526634287006,0.4778895698620765,D+47.79
5,0.7789369036261864,0.20627293949579983,0.5726639641303866,D+57.27
6,0.5688299054114281,0.4074109895659804,0.1614189158454477,D+16.14
7,0.3966433007542583,0.5887377412211325,-0.19209444046687424,R+19.21
8,0.383667359697703,0.5956757497266048,-0.21200839002890176,R+21.2
9,0.5473751781557926,0.4282191137342525,0.11915606442154014,D+11.92
10,0.41521982057493745,0.5660938539692232,-0.15087403339428573,R+15.09
11,0.6456442249884194,0.3396509072272651,0.30599331776115435,D+30.6
12,0.37874705481236154,0.6051796603214915,-0.22643260550912997,R+22.64
13,0.3626403341911902,0.6208272723881989,-0.2581869381970087,R+25.82
14,0.4132743254755342,0.5631277291958904,-0.14985340372035616,R+14.99
15,0.3593968000170722,0.6258707564933222,-0.26647395647625005,R+26.65
16,0.4437014547283327,0.5305939985471343,-0.08689254381880157,R+8.69
17,0.4470477717678212,0.5251770848258898,-0.07812931305806858,R+7.81
18,0.664168569955907,0.31723180210879776,0.34693676784710925,D+34.69
19,0.4016232742428605,0.5746445660072115,-0.173021291764351,R+17.3
20,0.46235830226339775,0.5100867447494947,-0.04772844248609692,R+4.77
21,0.40144909221112934,0.5675751576168612,-0.16612606540573183,R+16.61
22,0.3440679489747213,0.6365164013880461,-0.2924484524133248,R+29.24
23,0.5879151807712314,0.3931467076163084,0.19476847315492302,D+19.48
24,0.46228389478617926,0.5167379504254929,-0.0544540556393136,R+5.45
25,0.3899075959609753,0.5817365489893264,-0.19182895302835107,R+19.18
26,0.35808282322619017,0.6165274714381304,-0.2584446482119402,R+25.84
27,0.7194690671933128,0.2556530259189516,0.4638160412743612,D+46.38
28,0.30870961692237553,0.6675525081365598,-0.3588428912141842,R+35.88
29,0.40818809412775847,0.5710167585056223,-0.1628286643778638,R+16.28
30,0.23803750146240812,0.7430415962051838,-0.5050040947427757,R+50.5
31,0.5160772329776583,0.45260009932782314,0.06347713364983515,D+6.35
32,0.506726929399902,0.47036952137941623,0.036357408020485815,D+3.64
33,0.4360436488396842,0.5313467922550312,-0.09530314341534701,R+9.53
34,0.45668656010461445,0.5127498852301657,-0.05606332512555129,R+5.61
35,0.4217974711917595,0.5478812825398119,-0.12608381134805247,R+12.61
36,0.38717558831055127,0.5858441074945776,-0.19866851918402634,R+19.87
37,0.3904206883991987,0.5807442481636618,-0.19032355976446308,R+19.03
38,0.4754116850891044,0.49926059603478956,-0.023848910945685142,R+2.38
