DISTRICT,PVI,PVI_raw
1,D+33,0.3292478327062493
2,D+26,0.2605328267172398
3,D+87,0.8733964883035505
4,D+78,0.7840491694624556
5,D+83,0.8313697401647218
6,D+74,0.741145266523215
7,D+89,0.8922741260884597
8,D+87,0.8720203068425727
9,D+84,0.8385941700944979
10,D+55,0.5533146471901735
11,D+57,0.573232986823148
12,D+26,0.2633108853247781
13,D+7,0.07312403883359919
14,D+15,0.14917983394340112
15,D+21,0.20955635099700623
16,D+22,0.22103853653194552
17,R+3,-0.034107501749014724
18,D+9,0.09045097902497218
20,R+11,-0.10885143795261865
21,D+7,0.07376339774580964
22,D+14,0.14477742492674964
23,R+4,-0.03546580978323788
24,R+11,-0.11418733021208075
25,R+4,-0.03625200826022992
26,D+10,0.09882951400197601
27,D+41,0.4075161803870793
28,D+17,0.17018807019118265
29,D+38,0.3811806615146602
30,R+14,-0.1418009979443599
31,D+4,0.03945149713892379
32,R+18,-0.18050588269923515
33,R+20,-0.20016984612826907
34,D+76,0.7576707827806548
35,D+56,0.5614715272296629
36,R+32,-0.31629282532779074
37,D+11,0.10930933458392217
38,R+15,-0.14962431583693675
39,R+11,-0.10672391425631078
40,R+12,-0.12209250950269485
41,R+12,-0.12092858709974036
42,R+27,-0.2711119740821087
43,R+21,-0.207205882050541
44,R+26,-0.26408130503618493
45,R+20,-0.20082457702257847
46,R+29,-0.2895349665864871
47,R+32,-0.3217682617882303
48,D+11,0.10918408892738052
49,D+35,0.3506961655225326
50,D+9,0.09275573948336815
51,R+14,-0.14235811442996868
52,R+1,-0.006109483193429993
53,D+55,0.546873506899801
54,D+47,0.46859513456938356
55,D+41,0.4144560607437788
56,R+13,-0.13097170789609436
57,R+12,-0.11949501038113941
58,R+27,-0.27373529816500397
59,R+23,-0.2269317499101083
60,D+37,0.3742791509852819
61,R+5,-0.054184191683434885
62,EVEN,0.0041362860547370095
63,R+19,-0.1927560040823146
64,D+4,0.044281242496594486
65,R+14,-0.13630468605980597
66,R+11,-0.10690893042244412
67,D+7,0.07251028158084921
68,D+45,0.45295487614206104
69,D+25,0.24751512683160443
70,R+18,-0.17973224674989807
71,D+1,0.012038481838910764
72,R+21,-0.21358653750101006
73,R+25,-0.25325183518553296
74,R+26,-0.26346469593503224
75,D+40,0.39699397178574847
76,D+5,0.05475861590944464
77,R+24,-0.23682346241997845
78,R+18,-0.18386248121362303
79,R+11,-0.10703056726068877
80,R+25,-0.25369513822958867
81,R+21,-0.20856004059287245
82,R+23,-0.2304453352777967
83,R+18,-0.18385010829777573
84,R+23,-0.23207419640080948
85,R+7,-0.06908222817234674
86,R+31,-0.31121273901142926
87,R+26,-0.258540867070014
88,R+48,-0.4813849503302207
89,R+29,-0.29204419985929103
90,R+45,-0.4455498720007929
91,R+9,-0.08701093905806123
92,D+22,0.21843614868668187
93,R+8,-0.07746857462882545
94,R+14,-0.13894479216849162
95,D+42,0.41597954366685397
96,D+16,0.15860390300585903
97,R+19,-0.18727987949827676
98,R+18,-0.1792110982407132
99,R+6,-0.05791126557019191
100,R+26,-0.25752062515793084
101,R+8,-0.0777203591291552
102,R+22,-0.22210359297880644
103,R+23,-0.23279223444503558
104,R+14,-0.14015942127196654
105,R+23,-0.23344883672712283
106,R+15,-0.15483054812692704
107,R+16,-0.15973694405525568
108,R+18,-0.18065637214633767
109,D+7,0.06802415762497693
110,R+8,-0.07780573401765628
